Name,CAS #,smiles,human VDss (L/kg),human CL (mL/min/kg),"fraction unbound 
in plasma (fu)",MRT (h),terminal  t1/2 (h),Reference,Comments ,Notes,Year of first disclosure,MW,HBA,HBD,TPSA_NO,RotBondCount,moka_ionState7.4,MoKa.LogP,MoKa.LogD7.4
Didanosine,69655-05-6,OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)NC=Nc23,0.77,11.0,0.95,1.2,1.4,"Knupp CA, Shyu WC, Dolin R, Valentine FT, McLaren C, Martin RR, Pittman KA, and Barbhaiya RH (1991) Pharmacokinetics of didanosine in patients with acquired immunodeficiency syndrome or acquired immunodeficiency syndrome-related complex.  Clin. Pharmacol. Ther. 49: 523-535.  Videx Product Label.","2',3'-Dideoxyinosine, NSC612049",,1979,236.23,7,2,88.7,2,neutral,-0.93,-0.95
Hexobarbital,56-29-1,CN1C(=O)NC(=O)C(C)(C2=CCCCC2)C1=O,1.1,3.4,0.53,5.4,4.9,"Breimer DD, Honhoff C, Zilly W, Richter E, and van Rossum JM (1975) Pharmacokinetics of hexabarbital in man after intravenous infusion.  J. Pharmacokinet. Biopharm. 3: 1-11.  Zilly W, Breimer DD, and Richter E (1975) Induction of drug metabolism in man after rifampicin treatment measured by increased hexobarbital and tolbutamide clearance.  Eur. J. Clin. Pharmacol. 9: 219-227.  Zilly W, Breimer DD, and Richter E (1978) Hexobarbital disposition in compensated and decompensated cirrhosis of the liver.  Clin. Pharmacol. Ther. 23: 525-534.",,,1927,236.27,5,1,66.5,1,neutral,1.8,1.8
GSK2251052,1093643-37-8,B1(c2c(cccc2OCCCO)[C@H](O1)CN)O,2.37,4.1,,9.6,11.6,"Gary D Bowers, David Tenero, Parul Patel, Phuong Huynh, James Sigafoos, Kathryn O’Mara, Graeme C Young, Etienne Dumont, Elizabeth Cunningham, Milena Kurtinecz, Patrick Stump, JJ Conde, John P Chism, Melinda J Reese, Yun Lan Yueh and John F Tomayko. Disposition and metabolism of GSK2251052 in humans: a novel boron-containing antibiotic.  Drug Metabolism & Disposition (2013), 41(5), 1070-1081","Epetraborole. MRT from VDss and clearance. 1500 mg dose, 83.1 kg as average weight, N=6, 1 hour infusion.","GSK2251052 is metabolically eliminated.
98% radioactivity recovery (~90% urine, ~8 feces), with only 29% of dose as unchanged.
",2008,237.06,5,3,84.9,5,cationic,-0.61,-3.7
Viloxazine,46817-91-8,CCOc1ccccc1OCC2CNCCO2,0.73,2.1,,5.8,4.1,"Pisani F, Fazio A, Spina E, Artesi C, Pisani B, Russo M, Trio R, and Perucca E (1986) Pharmacokinetics of the antidepressant drug viloxazine in normal subjects and in epileptic patients receiving chronic anticonvulsant treatment.  Psychopharmacol.  90: 295-298.",VDss calculated from data obtained by digitization of the C vs t plot in the report.,,1972,237.29,4,1,39.7,5,cationic,1.3,0.23
Ketamine,6740-88-1,CNC1(CCCCC1=O)c2ccccc2Cl,2.9,19.0,0.47,2.5,2.8,"Geisslinger G, Hering W, Thomann P, Knoll R, Kamp HD, and Brune K (1993) Pharmacokinetics and pharmacodynamics of ketamine enantiomers in surgical patients using a stereoselective analytical method.  Br. J. Anaesth. 70: 666-671.  Pedraz JL, Lanao JM, Calvo MB, Muriel C, Hernandez-Arbeiza J, and Dominguez-Gil A (1987) Pharmacokinetic and clinical evaluation of ketamine administered by i.v. and epidural routes.  Int. J. Clin. Pharmacol. Ther. Toxicol. 25: 77-80.  Clements JA and Nimmo WS (1981) Pharmacokinetics and analgesic effect of ketamine in man.  Br. J. Anaesth. 53: 27-30.  Dayton PG, Stiller RL, Cook DR, and Perel JM (1983) The binding of ketamine to plasma proteins:  emphasis on human plasma.  Eur. J. Clin. Pharmacol. 24: 825-831.  Hijazi Y and Boulieu R (2002) Protein binding of ketamine and its active metabolites in human serum.  Eur. J. Clin. Pharmacol. 58: 37-40.",Racemate; data were combined.,,1963,237.73,2,1,29.1,2,cationic,2.6,2.2
Nitrofurantoin,67-20-9,O=C1CN(\N=C\c2oc(cc2)N(=O)=O)C(=O)N1,0.57,9.7,0.17,0.98,0.97,"Hoener BA and Patterson SE (1981) Nitrofurantoin disposition.  Clin. Pharmacol. Ther. 29: 808-816.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.  Mannisto PT and Lamminsivu U (1982) Nitrofurantoin is highly bound to plasma protein. J. Antimic. Chemother. 9: 327-328.",,,1952,238.16,9,1,121.0,3,anionic,-0.64,-0.98
Sinitrodil,143248-63-9,C(CON(=O)=O)N1COc2ccccc2C1=O,0.68,29.59,,0.38,0.38,"Monzani MV, Coltro G, Sala A, Sardina M., Pharmacokinetics of ITF 296 (Sinitrodil) a novel organic nitrate, in healthy volunteers. Eur J Pharm Sci, 1999, 7, 179-184. ","Data from 10 mg dose 30-min iv infusion, N=11, 78.08 kg average weight",,1992,238.2,7,0,84.6,4,neutral,1.8,1.8
Proxyphyllin,603-00-9,CC(Cn1cnc2c1c(=O)n(c(=O)n2C)C)O,0.59,1.17,,8.39,7.8,"M. Kalla, O. Richter, D. Reinhardt. Pharmacokinetics and pharmacodynamics of proxyphylline in asthmatic children. Monatsschrift Kinderheilkunde : Organ der Deutschen Gesellschaft fur Kinderheilkunde. 1985, 133, 520-526.","Oxypropyltheophylline. N=5, 2 children (9 and 11) and three young adults. 8.3 mg/kg dose. Data calculated from average of alpha (4.93 h-1), beta (0.113 h-1) macroconstants and intercepts (A= 18.36 mg/L and B = 11.56 mg/L) reported for each of the subjects. No AUC or clearance reported for iv leg with a VD for po leg of 0.6 L/kg (likely to be completely bioavailable). Data accepted on the basis of available two compartment macroconstant available. 8.3 mg/kg dose. VDss from clearance and MRT.",,1954,238.24,7,1,82.1,2,neutral,-0.044,-0.044
Semaxanib,194413-58-6,N1C(\C(c2ccccc12)=C/c1[nH]c(cc1C)C)=O,0.98,14.0,0.008,1.17,0.83," Sukbuntherng, Juthamas; Cropp, Gillian; Hannah, Alison; Wagner, Gregory S.; Shawver, Laura K.; Antonian, Lida. Pharmacokinetics and interspecies scaling of a novel VEGF receptor inhibitor, SU5416.  Journal of Pharmacy and Pharmacology (2001), 53(12), 1629-1636","TSU16. Data in rat, dog and monkey available in the same reference. N=69, 0.1-5 mg/kg iv, cancer patients with advanced malignancies and on a variety of concomitant medications. Human data originally reported by Cropp et al at conference proceedings. Deemed accurate.","Semoxind, SU5416. Mixture of diastereomers reported as semaxinib with CAS# 204005-46-9",1998,238.28,3,2,44.9,1,neutral,2.2,2.2
Nomifensine,24526-64-5,CN1CC(c2ccccc2)c3cccc(N)c3C1,6.0,22.0,0.4,4.5,6.5,"Lindberg RLP, Syvalahti EKG, and Pihlajamaki KK (1986) Disposition of nomifensine after acute and prolonged dosing.  Clin. Pharmacol. Ther. 39: 384-388.  Heptner W, Hornke I, Cavagna F, Fehlhaber HW, Rupp W, and Neubauer HP (1978) Metabolism of nomifensine in man and animal species.  Arz. Forsch. 28: 58-64",VDss calculated from data obtained by digitization of a plot in the reference. ,,1969,238.33,2,1,29.3,1,cationic,2.3,0.87
Cyclopentenyl cytosine,90597-22-1,c1cn(c(=O)nc1N)[C@@H]2C=C([C@H]([C@H]2O)O)CO,,3.61,,,,"Pedro M. Politi , Fuming Xie , William Dahut, Harry Ford, Jr. , James A. Kelley , Anne Bastian, Ann Setser , Carmen J. Allegra , Alice P. Chert, J. Michael Hamilton , Susan F. Arbuck, Peter Linz , Harry Brammer , Jean L. Grem. Phase I clinical trial of continuous infusion cyclopentenyl cytosine. Cancer Chemother Pharmacol (1995) 36:513 523.",Infusion plot with N=1 available. Clearance reported as 146 mL/min/m2. 1.73 m2/70 kg conversion factor used.,,1983,239.23,7,4,121.6,2,neutral,-2.9,-2.9
Albuterol (salbutamol),18559-94-9,CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,1.9,7.8,0.92,4.1,2.4,"Boulton DW and Fawcett JP (1996) Enantioselective disposition of salbutamol in man following oral and intravenous administration.  Br. J. Clin. Pharmacol. 1996, 41, 35-40.  Morgan DJ, Paull JD, Richmond BH, Wilson-Evered E, and Ziccone SP (1986) Pharmacokinetics of intravenous and oral salbutamol and its sulphate conjugate.  Br. J. Clin. Pharmacol.  22: 587-593.",Data for enantiomers were averaged.,,1962,239.31,4,4,72.7,4,cationic,0.63,-1.5
Phenoxodiol,81267-65-4,C1C(=Cc2c(O1)cc(cc2)O)c1ccc(cc1)O,1.55,59.1,,0.44,0.67,"Jan B Howes, Paul L de Souza, Leanne West, Li Jiu Huang, Laurence G Howes. Pharmacokinetics of phenoxodiol, a novel isoflavone, following intravenous administration to patients with advanced cancer. BMC Clinical Pharmacology 2011, 11:1-8; doi: 10.1186/1472-6904-11-1","NV06. Data for the free form ONLY. Average clearance, VDss and t1/2 reported for N=6 subjects administered 5 mg/kg as iv bolus. 70 kg assumed. MRT from VDss and clearance.",,1981,240.25,3,2,49.7,1,neutral,1.9,1.8
Peldesine,133432-71-0,c12c(Cc3cccnc3)c[nH]c1c([nH]c(n2)N)=O,1.2,6.2,0.86,3.2,3.0,"Viegas TX, Omura GA, Stoltz RR, Kisicki J.Pharmacokinetics and pharmacodynamics of peldesine (BCX-34), a purine nucleoside phosphorylase inhibitor, following single and multiple oral doses in healthy volunteers. J Clin Pharmacol. 2000 Apr;40(4):410-20.","BCX-34. data digitized from figure 3. N=9, 18 mg/m2 (1.9 m2 average BSA, 77 kg average weight) in 30' infusion.
reported AUC= 1104 hr*ng/mL
reported clearance = 33.3 L/h
reported t1/2 = 2.1 h",Calculated from the ratio of Ae (29 mg) and dose (18 mg/m2*1.9m2 = 34.2 mg),1991,241.25,6,3,100.5,2,neutral,-0.38,-0.38
Pelrinone,94386-65-9,[H]N(Cc1cccnc1)C1=C(C#N)C(N=C(C)N1[H])=O,0.39,5.8,0.05,1.1,0.95,"Scatina, J. A.; Hicks, D. R.; Kraml, M.; Cayen, M. N. Metabolic disposition and pharmacokinetics of pelrinone, a new cardiotonic drug, in laboratory animals and man Eur. J. Drug Metab. Pharmacokin. 1990, 15, 37-48."," N=4, 67 Kg average weight, 0.149 mg/Kg iv dose",,1985,241.25,6,2,90.2,4,neutral,-0.75,-0.8
Moxonidine,75438-57-2,COc1nc(C)nc(Cl)c1NC2=NCCN2,1.8,11.0,0.93,2.7,2.2,"Theodor R, Weimann HJ, Weber W, and Michaelis K (1991) Absolute bioavailability of moxonidine.  Eur. J. Drug Met. and Pharmacokin. 16: 153-159.  Schaefer HG, Toublanc N, and Weimann HJ (1998) The pharmacokinetics of moxonidine.  Rev. Contemp. Pharmacother.  9: 481-490.",,,1980,241.68,6,2,71.4,3,cationic,0.55,0.13
Fenoprofen,29679-58-1,C([C@@H](c1cc(Oc2ccccc2)ccc1)C)(=O)O,0.1,0.6,0.02,2.8,2.24," Physiological disposition of fenoprofen in man.  II.  Plasma and Urine Pharmacokinetics after Oral and Intravenous Administration. Rubin, Alan; Rodda, Bruce E.; Warrick, Patricia; Ridolfo, Anthony; Gruber, Charles M.  Journal of Pharmaceutical Sciences (1971), 60(12), 1797-801. ppb: Physiological disposition of fenoprofen in man.  III.  Metabolism and protein binding of fenoprofen. Rubin, Alan; Warrick, Patricia; Wolen, Robert L.; Chernish, Stanley M.; Ridolfo, Anthony S.; Gruber, Charles M., Jr. J. Pharmacol. Exp. Ther.  1972, 183, 449-457. ","N=4, data calculated as average of V1+V2; microconstant also available. Median weight 67.5 kg.  MRT = VDss/CL. One-compartment model data used.",,1970,242.27,3,1,46.5,4,anionic,3.2,0.48
Thiopental,76-75-5,CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,1.2,8.2,0.14,2.4,2.0,"Cordato DJ, Gross AS, Herkes GK, and Mather LE (1997) Pharmacokinetics of thiopentone enantiomers following intravenous injection or prolonged infusion of rac-thiopentone.  Br. J. Clin. Pharmacol. 43: 355-362.  Kurz H, Mauser-Ganshorn A, and Stickel HH (1977) Differences in the binding of drugs to plasma proteins from newborn and adult man. I. Eur. J. Clin. Pharmacol. 11: 463-467.",Data from individual stereoisomers were combined.  Half-life was estimated from the C vs t plot provided in the reference.,,1935,242.34,4,2,58.2,4,anionic,2.8,2.5
Cytarabine,147-94-4,[H]N([H])C1C=CN(C(N=1)=O)[C@H]1[C@H]([C@@H]([C@@H](CO[H])O1)O[H])O[H],0.67,41.67,0.87,0.28,0.17,"Breithaupt H et al.,  Clinical results and pharmacokinetics of high-​dose cytosine arabinoside (HD ARA-​C). Cancer, 1982, 50, 1248-1257. ppb: Van Prooijen, H. C.; Vierwinden, G.; Wessels, J.; Haanen, C. Cytosine arabinoside binding to human plasma proteins. Arch. Int. Pharmacodyn. Ther. 1977, 229, 199-205.",MK 8242. Tarabine. AC-1075. Data from 1-12 g doses with 2-3.5 hours iv infusion N=5 (see table 2 and 4) (Ara-C),,1966,243.22,8,4,128.6,6,neutral,-3.0,-3.0
Molsidomine,25717-80-0,CCOC(=NC1=C[N+](=NO1)N2CCOCC2)[O-],1.4,11.0,1.0,2.1,1.6,"J. Ostrowski, and K. Resag, Pharmacokinetics of molsidomine in humans. American Heart Journal.1985, 109, 641-643",70 kg assumed. 2 mg dose iv. N not reported.,95% radioactivity recovered with only 2% unchanged compound in urine.,1969,243.24,8,1,84.6,4,neutral,-2.3,-2.3
Frovatriptan,158747-02-5,CN[C@@H]1CCc2[nH]c3ccc(cc3c2C1)C(=O)N,3.6,2.5,0.85,22.0,24.0,"Buchan P, Keywood C, Wade A, and Ward C (2002) Clinical pharmacokinetics of frovatriptan.  Headache  42(Suppl 2): s54-s62.",,,1994,243.3,4,3,70.9,2,cationic,1.3,-0.86
Phencyclidine,77-10-1,C1CCN(CC1)C2(CCCCC2)c3ccccc3,6.9,5.1,0.35,23.0,16.0,"Cook CE, Brine DR, Jeffcoat AR, Hill JM, Wall ME, Perez-Reyes M, and Di Guiseppi SR (1982) Phencyclidine disposition after intravenous and oral doses. Clin. Pharmacol. Ther. 31: 625-634.",VDss obtained from C vs t data obtained by digitization of the plot provided in the reference.,,1959,243.39,1,0,3.2,2,cationic,5.3,3.7
Azacytidine,320-67-2,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,0.47,35.0,,0.22,0.36,"Marcucci G, Silverman L, Eller M, Lintz L, and Beach CL (2005) Bioavailability of azacitidine subcutaneous versus intravenous in patients with the myelodysplastic syndromes.  J. Clin. Pharmacol. 45:  597-602. ",VDss was calculated using C vs t data obtained by digitization of the plot provided in the reference.,,1964,244.2,9,4,141.0,2,neutral,-3.0,-3.0
Ribavirin,36791-04-5,NC(=O)c1ncn(n1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,14.0,5.2,1.0,45.0,45.0,"Paroni R, DelPuppo M, Borghi C, Sirtoni CR, and Galli Kienle M (1989) Pharmacokinetics of ribavirin and urinary excretion of the major metabolite 1,2,4-triazole-3-carboxamide in normal volunteers.  Int. J. Clin. Pharmacol. Ther. Toxicol. 27: 302-307.  Preston SL, Drusano GL, Glue P, Nash J, Gupta SK, and McNamara P (1999) Pharmacokinetics and absolute bioavailability of ribavirin in healthy volunteers as determined by stable-isotope methodology.  Antimic. Agents Chemother. 43: 2451-2456.  Morse GD, Shelton MJ, and O'Donnell AM (1993) Comparative pharmacokinetics of antiviral nucleoside analogues.  Clin. Pharmacokinet. 24: 101-123.",,,1962,244.2,9,4,143.7,3,neutral,-2.8,-2.8
CGP31608,107740-67-0,C[C@H]([C@@H]1[C@@H]2N(C1=O)C(=C(S2)CN)C(=O)O)O,0.23,7.67,,0.5,0.5,"R. Wise, J. M. Webberky, J. M. Andrews and J. P. Asbby. The pharmacokinetics and tissue penetration of intravenously administered CGP 31608. Journal of Antimicrobial Chemotherapy (1988) 21, 85-91",Data digitzed from plot reported. 1 g administered to N=6 volunteers in 1 hr infusion. 82.2 kg average weight. Calculated AUCinf essentially identical to reported value.,,1985,244.27,6,3,103.9,3,zwitterionic,-2.4,-4.7
Pidotimod,121808-62-6,C1[C@H](N(CS1)C([C@@H]1CCC(N1)=O)=O)C(O)=O,0.31,1.16,0.96,4.5,3.8," Pharmacokinetics and oral bioavailability of pidotimod in humans 
By Mailland, F.; Coppi, G.; Silingardi, S. 
From Arzneimittel-Forschung (1994), 44(12a), 1465-1469.","N=12, 200 mg dose iv, 73.2 kg average weight. VDss calculated from clearance and MRT. Data reported and analyzed via WInNonLin. Very similar values observed and values form the paper were kept. ppb ex-vivo dialysis from 1 hour samples.",,1991,244.27,6,2,86.7,2,anionic,-1.2,-4.6
Etomidate,33125-97-2,CCOC(=O)c1cncn1[C@H](C)c2ccccc2,2.7,13.0,0.23,2.9,3.5,"Van hamme MJ, Ghoneim MM, and Ambre JJ (1978) Pharmacokinetics of etomidate, a new intravenous anesthetic.  Anesthesiology 49: 274-277.   de Ruiter G, Popescu DT, deBoer AG, Smeekens JB, Breimer DD (1981) Pharmacokinetics of etomidate in surgical patients. Arch. Int. Pharmacodynam. Ther. 249: 180-188.  Meuldermans WEG and Heykants JJP (1976) The plasma protein binding and distribution of etomidate in dog, rat and human blood.  Arch. Int. Pharmacodynam. Ther. 221: 150-162.","Microconstant values from Van Hamme, et al., were used to estimate VDss.  Data were combined with deRuyter et al. ",,1884,244.29,4,0,44.1,5,neutral,2.8,2.8
Clodronate,10596-23-3,C(P(O)(O)=O)(P(O)(O)=O)(Cl)Cl,0.88,1.6,0.64,9.2,43.2,"Pharmacokinetics of clodronate in renal failure. H. Saha, P. Castren-Kortekangas, S. Ojanen, A. Juhakoski, J. Tuominen, O. Tokola, A. Pasternack. Journal of Bone and Mineral Research
 1994, 9, 1953–1958.//ppb: Pentikäinen PJ1, Elomaa I, Nurmi AK, Kärkkäinen S. Pharmacokinetics of clodronate in patients with metastatic breast cancer. Int J Clin Pharmacol Ther Toxicol. 1989, 27, 222-228.",Weighted average of 3 control groups. 30 mg for each group. Weighted average of control weights in Table 1 taken as 73.5 kg.,,1966,244.89,6,4,115.1,2,anionic,-1.2,-7.5
Deoxycytidine-5F-2',10356-76-0,c1c(c(nc(=O)n1[C@H]2C[C@@H]([C@H](O2)CO)O)N)F,0.91,5.09,,2.98,0.78,"Edward M. Newman · Robert J. Morgan · Shivaani Kummar · Jan H. Beumer · M. Suzette Blanchard ·
Christopher Ruel · Anthony B. El‑Khoueiry · Mary I. Carroll · Jessie M. Hou · Chun Li · Heinz J. Lenz ·
Julie L. Eiseman · James H. Doroshow. A phase I, pharmacokinetic, and pharmacodynamic evaluation of the DNA methyltransferase inhibitor 5‑fluoro‑2′‑deoxycytidine, administered with tetrahydrouridine. Cancer Chemother. Pharmacol. 2015, ","Data weight-averaged across 3 doses (67, 100 and 133 mg/m2, N= 7, 16, and 6, respectively) 3 hr iv infusion, administered with 350 mg/m2 of tetrahydrouridine. 1.73 m2/70 kg conversion factor assumed. MRT from VDss and clearance.",,1959,245.21,7,3,110.6,2,neutral,-2.0,-2.0
OR-1896,220246-81-1,[H]N(C(C)=O)c1ccc(cc1)C1[C@H](C)CC(N([H])N=1)=O,2.38,0.45,0.4,88.0,70.0,"Puttonen, J. Eur. J. Pharm. Sci. 2007, 32, 271-277. 200 ug dose, HPLC analysis on OR-1896 after 14C OR-1896 dose. N=5, average weight 74 kg, VDss = 176 L, Cl reported as 2.0 L/h. ppb from Antila et al. Eur. J. Pharm. Sci. 2004, 23, 213-222.",A metabolite of levosimedan,,1991,245.28,5,2,70.6,2,neutral,0.71,0.71
Pinacidil,60560-33-0,C(=N\c1ccncc1)(\N[C@@H](C(C)(C)C)C)NC#N,1.1,5.68,0.6,3.2,2.5,"A. McBURNEY, P. R. FARROW, S. AINSWORTH, J. W. WARD. Serum concentrations and urinary excretion of pinacidil and its major metabolite, pinacidil pyridine-N-oxide following i.v. and oral administration in healthy volunteers. Br. J. clin. Pharmac. (1985), 19, 91-94.//ppb: Ward, J. W.; McBurney, A.; Farrow, P. R.; Sharp, P. Pharmacokinetics and hypotensive effect in healthy volunteers of pinacidil, a new potent vasodilator. Eur. J. Clin. Pharmacol. 1984,  26, 603-608.","Results from digitization from plot reported by cited ref. N=14, 0.2 mg/kg. No comparative data (except ratios of AUC between parent and metabolite) but accepted on the basis of Laher et al reported clearance. Laher, MS, Hickey, MP.  Pharmacokinetics and Bioavailability of Pinacidil Capsules in Human Volunteers. J Int Med Res (1985) 13, 159-162. N=12, 0.2 mg/kg 15' iv infusion. 70 kg average weight assumed. Clearance of 7.56 mL.min-1.kg-1. calculated from dose and AUC reported. Only Vdarea reported as 1.4 L/kg. ppb measured across the range 40-400 ng/mL. Not concentration dependent.",,1976,245.32,5,2,73.1,5,neutral,1.4,1.4
Tasimelteon,609799-22-6,CCC(=O)NC[C@@H]1C[C@H]1c2cccc3c2CCO3,0.33,9.04,,0.62,0.75,"Rosarelis Torres,  Marlene A. Dressman,  William G. Kramer, 
and Paolo Baroldi. Absolute Bioavailability of Tasimelteon. Am. J.  Ther. 2015, 22, 355–360.","Data digitized from plot reported. Clearance within 14% of reported. N=14 (7M/7F), 2 mg, 30' infusion, average weight 63.6 kg",,1998,245.32,3,1,38.3,4,neutral,2.1,2.1
Dezocine,53648-55-8,c12[C@@]3([C@H]([C@@H](CCCCC3)Cc1ccc(c2)O)N)C,5.6,27.5,0.08,4.6,3.9,"Wilson JM, Cohen RI, Kezer EA, Schange SJ, Smith ER. Single- and multiple-dose pharmacokinetics of dezocine in patients with acute or chronic pain.J Clin Pharmacol. 1995 Apr;35(4):398-403.",Doses from 5-20. averaged by authors.,,1976,245.36,2,2,46.3,0,cationic,3.0,1.1
Guanfacine,29110-47-2,NC(=N)NC(=O)Cc1c(Cl)cccc1Cl,5.6,4.5,0.28,22.0,15.0,"Carchman SH, Crowe JT, and Wright GJ (1987) The bioavailability and pharmacokinetics of guanfacine after oral and intravenous administration to healthy volunteers.  J. Clin. Pharmacol. 27: 762-767.",CL and VDss were calculated from C vs t data obtained by digitization of the plot provided in the reference.,,1969,246.09,4,3,79.0,3,cationic,1.3,0.17
Doxifluridine,3094-09-5,C[C@H]1O[C@H]([C@H](O)[C@@H]1O)N2C=C(F)C(=O)NC2=O,0.28,11.0,0.61,0.46,0.35,"Schaaf LJ, Dobbs BR, Edwards IR, and Perrier DG (1988) The pharmacokinetics of doxifluridine and 5-fluorouracil after single intravenous infusions of doxifluridine to patients with colorectal cancer.  Eur. J. Clin. Pharmacol. 34: 439-443.  Meynial D, Lopez A, Malet-Martino MC, Hoffmann JS, and Martino R (1988) Application of fluorine-19 nuclear magnetic resonance to the determination of plasma-protien binding of 5'-deoxy-5-fluorouridine, a new antineoplastic fluoropyrimidine.  J. Pharm. Biomed. Anal. 6: 47-59.",Concentration dependent; fu data cited is for the lowest concentration.,,1958,246.19,7,3,99.1,1,neutral,-1.3,-1.5
Busulphan,55-98-1,CS(=O)(=O)OCCCCOS(=O)(=O)C,0.55,2.4,1.0,3.8,3.4,"Hassan M, Nilsson C, Hassan Z, Gungor T, Aschan J, Winiarski J, Hentschke P, Ringden O, Eber S, Seger R, and Ljungman P (2002) A phase II trial of liposomal busulphan as an intravenous myeloablative agent prior to stem cell transplantation: 500 mg/m(2) as a optimal total dose for conditioning.  Bone Marrow Transplantation  30: 833-841.  Ehrsson H and Hassan M (1984) Binding of busulfan to plasma proteins and blood cells.  J. Pharm. Pharmacol.   36: 694-696.",,,1950,246.3,6,0,86.7,7,neutral,-0.72,-0.72
